"municipio","valor","unidade","populacao_area_risco","populacao_total","tipo_do_numero","evidencia","confianca","erro"
"Agudo","vermelho","semáforo (verde/vermelho)","N/A","16041","populacao total","População: 16.041 (IBGE, 2024)","alta",""
"Alto Alegre","vermelho","semáforo (verde/vermelho)","N/A","1848","populacao total","MUNICÍPIO Alto Alegre, população 1.848","alta",""
"Alto Feliz","vermelho","semáforo (verde/vermelho)","N/A","2908","populacao total","Em 2010, o Censo do IBGE apontou uma população de 2908 habitantes.","alta",""
"Alvorada","vermelho","semáforo (verde/vermelho)","N/A","195.673","populacao total","Segundo dados do IBGE (2010), a população de Alvorada é de 195.673 habitantes","alta",""
"Amaral Ferrador","vermelho","semáforo (verde/vermelho)","N/A","5.310","populacao total","Nome: Amaral Ferrador População: 5.310 habitantes (IBGE-2022) Área: 506,5 km²","alta",""
"Anta Gorda","vermelho","semáforo (verde/vermelho)","N/A","5957","populacao total","População 5.957","alta",""
"Arambaré","vermelho","semáforo (verde/vermelho)","N/A","4112","populacao total","Seção 3.3: população: IBGE 4.112 (quatro mil, cento e doze). / ANEXO 'K' — CARTOGRAFIA DE ÁREAS DE RISCO ALTO E MUITO RISCO (mapas mostrados) — não há número de residentes em áreas de risco informado.","alta",""
"Araricá","vermelho","semáforo (verde/vermelho)","N/A","8.525","populacao total","População: 8.525 Área: 36,57 Km²","alta",""
"Arroio Grande","vermelho","semáforo (verde/vermelho)","N/A","18469","populacao total","População: 18.469 habitantes","alta",""
"Arroio do Meio","vermelho","semáforo (verde/vermelho)","N/A","21.958 habitantes","populacao total","POPULAÇÃO 21.958 habitantes [IBGE 2022]","alta",""
"Arroio do Padre","vermelho","semáforo (verde/vermelho)","N/A","N/A","N/A","Não há indicação de número ou estimativa de pessoas/famílias que residem em áreas de risco; campos de população/quantidades aparecem com ""0"" ou em branco (ex.: tabela 'População' Família 0; 'Residências populares' 0).","alta",""
"Arroio dos Ratos","vermelho","semáforo (verde/vermelho)","N/A","13608","populacao total","O município de Arroio dos Ratos com uma população de 13.608 habitantes com área territorial de 425,9 km² onde a ocupação urbana estendeu-se sobre seus afluentes Arroio dos Ratos e Arroio Ipiranga.","alta",""
"Arvorezinha","vermelho","semáforo (verde/vermelho)","N/A","N/A","N/A","4. Áreas de Risco do Município: Local Risco Observações (...) Diversos pontos no interior do município, como, Linha Quarta, Linha Quinta, Linha Forqueta, Linha São José e Linha Torres Gonçalves. Deslizamentos, queda de detritos e colapsos de pontes. (...) Todo município Falta de água e luz devido a quedas de postes e deterioração de linhas de abastecimento de água.","alta",""
"Barra do Ribeiro","vermelho","semáforo (verde/vermelho)","N/A","12,572","populacao total","Dados do Município: população ~12,572","alta",""
"Barracão","vermelho","semáforo (verde/vermelho)","N/A","4831","populacao total","População: 4831","alta",""
