"municipio","valor","unidade","abrigos_listados","vagas_abrigos","populacao_area_risco","evidencia","confianca","erro"
"Agudo","verde","semáforo (verde/amarelo/vermelho)","sim","300","N/A","Identificação: Ginásio Municipal de Agudo Endereço: Avenida Tiradentes, 1625 Responsável: Luivonir Dorneles Capacidade: 300 pessoas","alta",""
"Alto Alegre","verde","semáforo (verde/amarelo/vermelho)","sim","300","1.848","LISTA DE ABRIGOS: Salão Paroquial de Alto Alegre - RS, Rua Leonardo Sefrin. (documento de recursos municipais: capacidade 300 pessoas) [documentos recuperados: lista de abrigos; formulário com capacidade 300 pessoas].[ref_id:0][ref_id:1][ref_id:5]","alta",""
"Alto Feliz","verde","semáforo (verde/amarelo/vermelho)","sim","600","N/A","Ginásio de Esportes Rua Gustavo Weisheimer; Capacidade: 400 Pessoas; Pavilhão do Parque de Exposições Rua Gustavo Weisheimer; Capacidade: 200 Pessoas; ""havendo desalojados serão conduzidos para os seguintes locais de abrigo, previamente vistoriados e liberados pelo coordenador municipal ou seu representante.""","alta",""
"Alvorada","verde","semáforo (verde/amarelo/vermelho)","sim","150","N/A","Abrigo 01 - GINÁSIO MUNICIPAL TANCREDO NEVES ... Capacidade do Abrigo: 150 pessoas","alta",""
"Amaral Ferrador","amarelo","semáforo (verde/amarelo/vermelho)","nao","N/A","N/A","5.2 - Abrigar e cadastrar os afetos;","alta",""
"Anta Gorda","verde","semáforo (verde/amarelo/vermelho)","sim","2000","5957","Abrigo I - Ginásio de Esportes São Carlos - Capacidade: 1000 pessoas; Abrigo II - Ginásio AFUMAG - Capacidade: 500 pessoas; Abrigo III - Parque de Eventos - Capacidade: 500 pessoas; Áreas de Risco: ""Toda a área do município""; População 5.957","alta",""
"Arambaré","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","N/A","ANEXO ""F"" — ESTRUTURA DOS ABRIGOS: Abrigo 01: CRAS, Rua Carlos Bohner, nº 571, Bairro Centro; Abrigo 02: Centro comunitário Santa Rita, Rua Francisco Luiz Pereira, Nº 177, Distrito Santa Rita do Sul; Abrigo 03: E.M.E.F. Atahualpa Irineu Cibilis, Rua Ormezinda R. Loureiro, Nº 294, Bairro Caramuru. (Também listados abrigos secundários em ANEXO 'G' com nomes e endereços: E.E.E.M. Lauro Silva Azambuja — Rua João Pereira da Silva, nº 115, Distrito da Santa Rita do Sul; E.M.E.F. Gustavo Xavier — ERS 350 – KM 09, Parada Bonita; E.E.E.M. Dr. Donário Lopes — Rua Justino Gonçalves da Silva, nº 379, Bairro Centro.)","alta",""
"Araricá","verde","semáforo (verde/amarelo/vermelho)","sim","370","8525","Abrigo I Identificação: EMEF MURICI - SEMENTINHA ... Capacidade: 70 pessoas[ref_id:2] Abrigo II Identificação: GINÁSIO DE ESPORTES ... Capacidade: 200 pessoas[ref_id:2] Abrigo III Identificação: GALPÃO NATIVO ... Capacidade: 100 pessoas[ref_id:2] População: 8.525[ref_id:1]","alta",""
"Arroio Grande","verde","semáforo (verde/amarelo/vermelho)","sim","100","18469","Lista de Abrigos — Abrigo 1: Identificação: Ginásio Municipal de Esportes – Gita; Endereço: Rua Jose Thomaz Munhoz; Capacidade: 100 Pessoas / População: 18.469 habitantes","alta",""
"Arroio do Meio","verde","semáforo (verde/amarelo/vermelho)","sim","50 famílias","21.958 habitantes","1) ""1º Ginásio Municipal da Barra da Forqueta ... Capacidade de 25 famílias""; 2) ""2º Ginásio Municipal Escola João Beda ... Capacidade de 25 famílias""; 3) ""POPULAÇÃO 21.958 habitantes [IBGE 2022]""","alta",""
"Arroio do Padre","vermelho","semáforo (verde/amarelo/vermelho)","nao","N/A","N/A","Nenhum trecho do documento apresenta nomes, endereços ou capacidade de abrigos; o índice e as seções listam 'Planilha de Recursos', 'Instituições envolvidas' e 'Lista de Contatos', mas não há listagem de abrigos específicos nos documentos recuperados.","alta",""
"Arroio dos Ratos","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","13.608","▪ Centro de Referência de Assistência Social - CRAS SANTA BÁRBARA Representante: Morgana de Oliveira Ferreira ▪ Associação do Corpo de Bombeiros Voluntários de Arroio dos Ratos Representante: Carlos Vales; O município de Arroio dos Ratos com uma população de 13.608 habitantes com área territorial de 425,9 km²","alta",""
"Arvorezinha","verde","semáforo (verde/amarelo/vermelho)","sim","N/A","N/A","Lista de Abrigos Abrigo 1 Abrigo 2 Abrigo 3 Abrigo 4 Identificação Ginásio Municipal Esporte Clube São Luiz Prefeitura Municipal de Arvorezinha/RS Endereço Av. Angelo Dallagnol Rua João Barbizan Rua Carlos Sheffer Rua Osvaldo Aranha Área (m2) 1400 1.200 500 1.300","alta",""
