"municipio","valor","unidade","n_canais_alerta","meios_alerta","evidencia","confianca","erro"
"Agudo","amarelo","semáforo (verde/amarelo/vermelho)","1","rádio (difusão)","Radio Agudo FM 90.1 ... Radio Alternativa FM 104.9","alta",""
"Alto Alegre","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Depois da ativação formal o prefeito e/ou o coordenador Municipal de Defesa Civil vão ativar um plano de chamadas, um posto de comando e compilar informações; protocolos internos são acionados conforme nível de ativação (atenção, alerta, alarme, resposta).","media",""
"Alto Feliz","amarelo","semáforo (verde/amarelo/vermelho)","1","rádios","A instalação se dará com a convocação dos responsáveis pelas entidades envolvidas no plano de ação ... podendo ser chamados pelos diversos meios de comunicação como telefones, rádios, e-mails, etc ..","media",""
"Alvorada","verde","semáforo (verde/amarelo/vermelho)","5","carro de som/alto-falante,visitas presenciais dos agentes,página oficial nas redes sociais,rádios (rádios locais / rádio difusão),e-mail","O Acionamento se dará por meio de carro de som e ou visitas dos agentes de Defesa Civil a população, por meio da página oficial da PMA nas redes sociais e através da mídia (Rádios), encaminhado e-mail com os dados do porque está sendo dado o alerta","alta",""
"Amaral Ferrador","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","alta",""
"Anta Gorda","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Documento PLANO DE CONTINGÊNCIA: não há menção a sirenes, SMS/mensagem em massa, carro de som/alto-falante, aplicativo, rádio ou redes sociais como meios de emissão de alerta à população; contém ações gerais e contatos internos (telefones de coordenadores) apenas.","alta",""
"Arambaré","verde","semáforo (verde/amarelo/vermelho)","4","alto-falantes / carro de som,SMS / mensagem em massa,WhatsApp,redes sociais","o alerta deve possibilitar a divulgação das informações relevantes para a população e autoridades via veículos de alto‑falante, SMS, WhatsApp e redes sociais.","alta",""
"Araricá","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","O documento não menciona meios de emissão de alerta à população (sirene, SMS, carro de som, aplicativo, rádio ou redes sociais); apresenta contatos internos e responsabilidades, listas de abrigos e recursos, mas sem descrição de canais de difusão de alertas ao público.","alta",""
"Arroio Grande","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","Documento do PLANO DE CONTINGÊNCIA e páginas associadas listam objetivos, quem aciona o plano, áreas de risco, contatos institucionais e estoque emergencial, sem descrever canais de emissão de alerta à população (sirene, SMS, alto‑falante, aplicativo, rádio ou redes sociais).","alta",""
"Arroio do Meio","amarelo","semáforo (verde/amarelo/vermelho)","2","Boletins (divulgação em meios oficiais — TV, rádio, internet),Voz oficial (Declarações/orientações da Defesa Civil/ Município)","● Boletins atualizados de hora em hora; ● Divulgação do contato oficial da Defesa Civil nos meios oficiais de comunicação; ● Voz oficial Defesa Civil e/ou Município a fim de orientar a comunidade de forma humanizada para além dos boletins; Fontes Abertas – TV, rádio, internet","media",""
"Arroio do Padre","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","alta",""
"Arroio dos Ratos","amarelo","semáforo (verde/amarelo/vermelho)","3","rádio (rádios locais / rádio local),megafone/carro de som/alto-falante,telefone/SMS (telefones celulares)","""O alerta é realizado por meio de telefone, e-mail, rádios comunicadores, rádio local, megafone ou presencialmente.""","alta",""
"Arvorezinha","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","O documento descreve acionamento do plano, listas de responsáveis, abrigos, telefones e recursos (veículos, estoques) mas não menciona sirenes, SMS/mensagem em massa, carro de som/alto‑falante, aplicativo, rádio, redes sociais de difusão ou WhatsApp de difusão para emitir alertas à população.","alta",""
"Barra do Ribeiro","amarelo","semáforo (verde/amarelo/vermelho)","2","Carro de som/alto-falante,Internet (redes sociais / divulgação online)","AVISOS: ""Internet, Carro de som""; ALERTAS: ""Colocaremos carro som e internet.""","alta",""
"Barracão","amarelo","semáforo (verde/amarelo/vermelho)","2","Internet (rádio mencionada separadamente),Rádio","AVISOS Internet, Rádio, Telefone.","alta",""
"Barros Cassal","verde","semáforo (verde/amarelo/vermelho)","4","telefone (alerta por telefone),rádio comunitária / rádios vizinhas,veículos com alto-falante / carro de som,alertas por meio de técnicos/voluntários (comunicação em massa via representantes)","13.3 ALERTA: ...alertas emitidos por técnico(s) da agricultura e voluntários da comunidade por telefone.[ref_id:10] 13.4 ALARME: ...COMPDEC é o executor do alarme e os alertas são feitos por telefone, rádio comunitária e rádios vizinhas.[ref_id:10] 14.3 ...material resources (rádios, telefone, veículos com alto falante, máquinas).[ref_id:8]","alta",""
"Barão de Cotegipe","amarelo","semáforo (verde/amarelo/vermelho)","3","internet,carro de som/alto-falante,rádio","AVISOS — internet, carro speakers, newspapers, radio, church bell, telephone, etc.","media",""
"Barão do Triunfo","verde","semáforo (verde/amarelo/vermelho)","4","canais oficiais da Prefeitura,redes sociais,rádio local / rádio comunitária,carro de som / alto‑falante,sirenes","A comunicação será feita através dos canais oficiais da Prefeitura, redes sociais, rádio local e carro de som. Durante eventos críticos, serão emitidos boletins diários.[ref_id:0][ref_id:1] / Emissão de alertas via rádio, redes sociais e sirenes.[ref_id:0]","alta",""
"Barão","verde","semáforo (verde/amarelo/vermelho)","4","SMS (integração com Defesa Civil RS – envio de SMS),Rádio local,Redes sociais (site e Facebook da Prefeitura / redes sociais de difusão),Sirenes portáteis","● Integração com Defesa Civil RS (40199) – envio de SMS. ● Utilização de rádio local, redes sociais e sirenes portáteis. ● Canal oficial de comunicação: site e Facebook da Prefeitura.","alta",""
"Boa Vista do Cadeado","verde","semáforo (verde/amarelo/vermelho)","4","rádio,jornais locais,carro de som/alto-falante,site e redes sociais do município","MEIOS DE COMUNICAÇÃO: rádio, jornais locais, carro de som, site e redes sociais do município.","alta",""
"Boa Vista do Incra","verde","semáforo (verde/amarelo/vermelho)","7","rádio local,carro de som/alto-falantes em comunidades rurais,grupos de WhatsApp oficiais,SMS/mensagens de texto,site da Prefeitura,redes sociais,rádios comunitárias","""Canais de divulgação: rádio local, carro de som, grupos de WhatsApp oficiais, SMS, site da Prefeitura, redes sociais, rádios comunitárias e alto-falantes em comunidades rurais."" [ref_id:0]","alta",""
"Bom Princípio","amarelo","semáforo (verde/amarelo/vermelho)","1","N/ A (documento não descreve canais explícitos de emissão; há menção geral à Defesa Civil)","N/ A","baixa",""
"Bom Retiro do Sul","verde","semáforo (verde/amarelo/vermelho)","5","Rádio,Carro de som/veículo com sirene,Grupos de WhatsApp (difusão),SMS (avisos via Defesa Civil do Estado),Televisor/TV (divulgação de informações)","Rádio; Carro de som, veiculo com sirene; Criação de grupos de WhatsApp para a divulgação das informações; A maioria dos moradores recebem avisos via SMS oriundos da Defesa Civil do Estado do RS; Computador, Internet, Acesso a sites, Televisor, Rádio (lista de meios para acompanhamento e divulgação de alertas)","alta",""
"Brochier","amarelo","semáforo (verde/amarelo/vermelho)","3","rádio,site da Prefeitura / online,jornais de circulação na região","A comunidade será avisada por meio da rádio, on-line (site da Prefeitura Municipal), sitio eletrônico: www.brochier.rs.gov.br e jornais de circulação na região.","alta",""
"Butiá","amarelo","semáforo (verde/amarelo/vermelho)","1","divulgação em redes sociais (boletins e postagens oficiais)","Será definido pelo Prefeito Municipal um assessor de comunicação bem como os horários em que serão divulgados os boletins de informação à imprensa e divulgação nas redes sociais, quando for necessário.","media",""
