"municipio","valor","unidade","ano_plano","data_plano","evidencia","confianca","erro"
"Agudo","verde","semáforo (verde/amarelo/vermelho)","2025","2025","PLANO DE CONTINGÊNCIA PARA 2025 REGISTRO DE ALTERAÇÕES: Data Alteração: Obs. 01/03/2025 reformulação","alta",""
"Alto Alegre","verde","semáforo (verde/amarelo/vermelho)","2025","17 de abril de 2025","documento datado “Alto Alegre, 17 de abril de 2025”","alta",""
"Alto Feliz","vermelho","semáforo (verde/amarelo/vermelho)","2013","Agosto 2013","DESLIZAMENTO DE TERRA E ENCOSTAS Agosto 2013","alta",""
"Alvorada","amarelo","semáforo (verde/amarelo/vermelho)","2024","Última Atualização: 27 de junho de 2024.","Última Atualização: 27 de junho de 2024.","alta",""
"Amaral Ferrador","verde","semáforo (verde/amarelo/vermelho)","2025","Janeiro/2025","Janeiro/2025.","alta",""
"Anta Gorda","verde","semáforo (verde/amarelo/vermelho)","2025","Outubro 2025","A scanned municipal document headed ""MUNICÍPIO DE ANTA GORDA"" dated Outubro 2025.","alta",""
"Arambaré","verde","semáforo (verde/amarelo/vermelho)","2025","29 de setembro de 2025","Dated ""Arambaré/RS, 29 de setembro de 2025.""","alta",""
"Araricá","amarelo","semáforo (verde/amarelo/vermelho)","2024","MAIO / 2024","PLANO DE CONTINGÊNCIA MUNICÍPIO DE ARARICÁ / RS MAIO / 2024","alta",""
"Arroio Grande","verde","semáforo (verde/amarelo/vermelho)","2025","Maio de 2025","Arroio Grande, Maio de 2025.","alta",""
"Arroio do Meio","verde","semáforo (verde/amarelo/vermelho)","2025","10 de julho de 2025","Arroio do Meio, 10 de julho de 2025","alta",""
"Arroio do Padre","vermelho","semáforo (verde/amarelo/vermelho)","N/A","N/A","VERSÃO: Versão 1 ‑ ÚLTIMA ATUALIZAÇÃO:","alta",""
"Arroio dos Ratos","verde","semáforo (verde/amarelo/vermelho)","2025","PLAMCON – 2025","Plano Municipal de Contingência de Proteção e Defesa Civil - PLAMCON – 2025","alta",""
"Arvorezinha","verde","semáforo (verde/amarelo/vermelho)","2025","23 de outubro de 2025","Arvorezinha, 23 de outubro de 2025.","alta",""
"Barra do Ribeiro","vermelho","semáforo (verde/amarelo/vermelho)","N/A","N/A","Nenhum documento foi anexado.","alta",""
"Barracão","verde","semáforo (verde/amarelo/vermelho)","2025","29 de maio de 2025","Barracão, 29 de maio de 2025.","alta",""
"Barros Cassal","verde","semáforo (verde/amarelo/vermelho)","2025","25 de novembro de 2025","Barros Cassal, RS, 25 de novembro de 2025","alta",""
"Barão de Cotegipe","verde","semáforo (verde/amarelo/vermelho)","2025","11 de Abril 2025","Barão de Cotegipe RS, 11 de Abril 2025","alta",""
"Barão do Triunfo","verde","semáforo (verde/amarelo/vermelho)","2025","10 de novembro de 2025","Data de criação: 10 de novembro de 2025.","alta",""
"Barão","verde","semáforo (verde/amarelo/vermelho)","2025","29/10/2025","Aprovação: Decreto Municipal nº 2381/2025 Data: 29/10/2025","alta",""
"Boa Vista do Cadeado","vermelho","semáforo (verde/amarelo/vermelho)","N/A","N/A","N/A","alta",""
"Boa Vista do Incra","verde","semáforo (verde/amarelo/vermelho)","2025","PLACON 2025","PLANO DE CONTINGÊNCIA BOA VISTA DO INCRA – RS / 2025","alta",""
"Bom Princípio","verde","semáforo (verde/amarelo/vermelho)","2025","Atualizado em maio de 2025","“Atualizado em maio de 2025”","alta",""
"Bom Retiro do Sul","verde","semáforo (verde/amarelo/vermelho)","2025","17/07/2025","17/07/2025 Paulo André Junqueira 1.2","alta",""
"Brochier","verde","semáforo (verde/amarelo/vermelho)","2025","Setembro/2025","Setembro/2025","alta",""
