"municipio","valor","unidade","n_nupdecs","nupdec_futuro","grupos_comunitarios","evidencia","confianca","erro"
"Agudo","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Voluntários de Defesa Civil 01 João Marques (55) 9 96765589","alta",""
"Alto Alegre","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Documento lista ""Civil defense volunteers (04)"" no quadro de recursos e cita ações envolvendo abrigos e voluntários (ex.: ""Retirar e encaminhar pessoas a casas de parentes e, e, se necessário, aos abrigos"" e seção ""Bombeiros Voluntários"" com atribuições).","alta",""
"Alto Feliz","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","No texto recuperado não há menção a NUPDEC(s) ou NUDEC(s) já existentes ou formalizados; o documento descreve a COMDEC (Coordenadoria Municipal de Defesa Civil) e ações/atribuições, e menciona mobilização de voluntários e órgãos (ex.: ""Participar das reuniões da COMDEC."") mas não lista NUPDEC formalizados.","alta",""
"Alvorada","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Recursos Humanos: 10 voluntários da Defesa Civil; Rotary. (trecho: ""Recursos Humanos\n\n 10 voluntários da Defesa Civil \n Rotary \n"")","alta",""
"Amaral Ferrador","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","Documento do Plano de Contingência do Município de Amaral Ferrador (Janeiro/2025) lista ações, áreas de risco e responsáveis, mas não menciona NUPDEC(s)/NUDEC(s) existentes ou voluntários/grupos comunitários; trechos exemplares: ""PLANO DE CONTINGÊNCIA""; ""5.1 - Rápida identificação e resgate das vitimas e avaliação""; ""Coordenador Defesa Civil... Equipe de apoio Defesa Civil"".","alta",""
"Anta Gorda","amarelo","semáforo (verde/amarelo/vermelho)","0","N/A","menção a Voluntários de Defesa Civil (10) e lista de abrigos com responsáveis locais","""Voluntários de Defesa Civil: 10""[ref_id:5][ref_id:3]","alta",""
"Arambaré","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","ANEXO 'B': RELAÇÃO DAS INSTITUIÇÕES/ASSOCIAÇÕES — lista inclui JEEP CLUBE/CAMAQUÃ, GRUPO 3ª IDADE LAGOA AZUL e 'Voluntários' como categoria; Anexo B contém 'Instituições/Associações/Voluntários' (página 33 de 44) e o texto do plano lista instituições e voluntários sem indicar NUPDEC(s) formalizados [ref_id:15][ref_id:4]","alta",""
"Araricá","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","Voluntários de Defesa Civil 12","Voluntários de Defesa Civil 12 Jaime Leal Benetti 51 99813.4262","alta",""
"Arroio Grande","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","Documento: Plano de Contingência de Arroio Grande/RS (2025) — não há menção a NUPDEC(s) existentes, apenas seções sobre objetivos, acionamento, áreas de risco e estoque emergencial sem citações de NUPDECs ou de grupos voluntários formalizados.","alta",""
"Arroio do Meio","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","""A defesa civil fará reuniões periódicas com as comunidades das áreas potencialmente alagáveis visando instruí-las e treiná-las para o evento adverso de inundação."" [ref_id:3] ""Voluntários (Recepção e Distribuição) ... Coordenação de voluntários e recepção de apoios externos"" [ref_id:4] ""Organizar os voluntários em parceria com Indústria, Comércio e Turismo."" [ref_id:7]","alta",""
"Arroio do Padre","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","Nenhuma menção a NUPDEC/NUDEC ou núcleos comunitários formalizados foi encontrada no documento recuperado; o plano cita apenas a ""DEFESA CIVIL DE ARROIO DO PADRE"", mobilização de pessoas e voluntários genéricos e procedimentos de ativação do plano.","alta",""
"Arroio dos Ratos","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","menção a voluntários da comunidade e Servidores Municipais voluntários","“Servidores Municipais voluntários \n✓ Voluntários da comunidade” [ref_id:6]","alta",""
"Arvorezinha","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","O documento não menciona NUPDEC/NUDEC existentes; cita lista de abrigos, recursos e ações, sem referência a núcleos comunitários formalizados.","alta",""
"Barra do Ribeiro","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","Nenhuma menção a NUPDEC/NUDEC ou núcleos comunitários formalizados foi encontrada nas páginas do Plano de Contingência; o documento lista abrigo(s), recursos e atividades de resposta, mas não cita NUPDECs existentes.","alta",""
"Barracão","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","Documento PLANCON de Barracão/RS (versão 2025) apresenta contatos da Coordenadoria Municipal de Proteção e Defesa Civil e descreve atividades de resposta, abrigos e voluntários (bombeiros voluntários) mas não lista NUPDEC(s)/NUDEC(s) formalizados nem afirma que NUPDECs já existem.","alta",""
"Barros Cassal","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","sim","Lista de órgãos e organizações a serem ativados inclui CTG, clubes de mães, CDL, Sindicato dos Trabalhadores Rurais, Conselho Tutelar e outras associações (órgãos e autoridades que serão ativados) e página de contatos com líderes de grupos comunitários (Presidente do Grupo da Terceira Idade; Clube de Mães; Sindicato dos Trabalhadores Rurais; CTG; CDL)","alta",""
"Barão de Cotegipe","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","Nenhum documento foi anexado.","alta",""
"Barão do Triunfo","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","O documento cita ""Capacitação de servidores e voluntários."" e ""complementado pela Brigada Militar e Policia Civil"" e lista ""Abrigos municipais: Ginásio Municipal..."" — não há menção a NUPDEC/NUDEC já formalizados.","alta",""
"Barão","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","O documento descreve a existência de uma Coordenadoria Municipal de Proteção e Defesa Civil (COMPDEC) e Comitê Municipal de Operações de Emergência (CMOE), mas não lista NUPDEC(s)/NUDEC(s) existentes nem cita núcleos formalizados; menciona voluntariado e comunidade de forma genérica no organograma: ""Voluntariado e Comunidade""; não há citação de NUPDEC já constituído.","alta",""
"Boa Vista do Cadeado","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","N/A","Não há menção a NUPDEC(s)/NUDEC(s) formalizados no documento; aparecem: ""Coordenadoria Municipal de Proteção e Defesa Civil (Rep. Juliana Xavier Baiotto)"" e lista de atribuições, organograma e listas de abrigos, mas sem citação de NUPDEC formalizados.","alta",""
"Boa Vista do Incra","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","sim","Lista de Apoio Comunitário e Institucional inclui 'Organizações não-governamentais e grupos de voluntários' e 'Associações comunitárias urbanas e rurais', sem menção a NUPDEC/NUDEC já existentes; menção a mobilização de voluntários, uso de escolas/salões/igrejas como abrigos e recomendação de 'envolver voluntários e lideranças comunitárias' em exercícios simulados","alta",""
"Bom Princípio","amarelo","semáforo (verde/amarelo/vermelho)","0","N/A","menções a cadastrados/voluntários em listas (cadastro único, nomes por localidade) e referências a agentes/voluntários de saúde e cadastro de pessoas, mas sem citar NUPDEC formalizado","Documentos incluem listas de cadastros/nomes por localidade (ex.: tabela ""LOCALIDADE / NOME DO CADASTRADO"" com localidades SANTA TERESINHA, CENTRO, RUA DA LAGOA) e seções intituladas ""RELAÇÃO DO CADASTRO ÚNICO"" e múltiplas listas de agentes/voluntários vinculados ao município, sem menção a NUPDEC ou NUDEC já formalizados""","alta",""
"Bom Retiro do Sul","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Voluntariado ... Bombeiros Voluntários ... Jipeiros Três Membros Três Jipes ... Ação: Transmitir as informações ... grupos de WhatsApp da Defesa Civil do município.","alta",""
"Brochier","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","menção a voluntários/Voluntários de Defesa Civil e Bombeiros Voluntários (participação em recebimento/organização de doações; referência a Voluntários de Defesa Civil e Bombeiros Voluntários de Maratá)","""Recebimento, organização e distribuição de doações com a participação de membros da Coordenadoria Municipal de Defesa Civil e voluntários""; ""Voluntários de Defesa Civil""; ""Bombeiros Voluntários de Maratá/RS""","alta",""
"Butiá","amarelo","semáforo (verde/amarelo/vermelho)","0","sim","sim","""NÚCLEOS COMUNITÁRIOS DE PROTEÇÃO E DEFESA CIVIL... Em Butiá, esses núcleos poderão estar organizados conforme disposição territorial..."" [ref_id:16][ref_id:7]","alta",""
"Cacequi","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","N/A","Não há menção a NUPDEC(s)/NUDEC(s) já existentes no documento recuperado; referências ao órgão municipal de Defesa Civil (COMPDEC) e às atribuições/ativação do plano aparecem, mas não há listagem de NUPDEC formalizados.","alta",""
"Cachoeira do Sul","verde","semáforo (verde/amarelo/vermelho)","1","nao","N/A","Comunicação Área Afetada: ... - NUPDECs Cristiano Garcia (51) 991310073","alta",""
"Cachoeirinha","vermelho","semáforo (verde/amarelo/vermelho)","0","sim","sim","Em Cachoeirinha, esses núcleos serão organizados conforme disposição territorial da Secretaria Municipal de Governo, Defesa Civil e SMCAS, onde se estabelecerá o fórum, com a participação dos moradores... (trecho descreve organização futura de núcleos comunitários) [ref_id:0]","alta",""
"Cacique Doble","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","Voluntarios de Defesa Civil 29 Sergio Salvati(LionsClube) 5499988-9884; ""Recebimento, organizacao e distribuicao de doac6es com a participacao de membros da Coordenadoria Municipal de Defesa Civil e voluntarios""","alta",""
"Camaquã","vermelho","semáforo (verde/amarelo/vermelho)","0","nao","sim","A defesa civil se encontra no momento em reestruturação, não medindo esforços para poder obter um resultado de resposta mais imediato a população... Remoções dos atingidos com as equipes montadas pela Prefeitura, juntamente com voluntários. 6.7 local adequado para animais Ivana de Paula /voluntária Canil municipal arca (51)995734256","alta",""
"Camargo","vermelho","semáforo (verde/amarelo/vermelho)","0","N/A","N/A","Nenhuma menção a NUPDEC/NUDEC ou a existência de núcleos comunitários formalizados é apresentada nas páginas recuperadas do Plano de Contingência e documentos municipais (apresentação, infraestrutura disponível, instituições envolvidas, listas de contato e ações por evento); há apenas referências genéricas à Defesa Civil, instituições envolvidas e voluntários não aparecem listados como núcleos formalizados.","alta",""
"Campo Bom","amarelo","semáforo (verde/amarelo/vermelho)","0","nao","sim","""Os recursos serão executados pelos respectivos órgãos que compõe o COMDEC, grupos voluntários sempre que solicitados pelo Coordenador.""","alta",""
