"municipio","P1 (semáforo (verde/vermelho))","P2 (semáforo (verde/amarelo/vermelho))","P3 (semáforo (verde/vermelho))","P4 (semáforo (verde/vermelho))","P5 (semáforo (verde/amarelo/vermelho))","P6 (semáforo (verde/amarelo/vermelho))","P7 (semáforo (verde/amarelo/vermelho))"
"Agudo","vermelho","verde","vermelho","vermelho","amarelo","verde","amarelo"
"Alto Alegre","vermelho","verde","vermelho","vermelho","vermelho","verde","amarelo"
"Alto Feliz","vermelho","verde","vermelho","vermelho","amarelo","vermelho","vermelho"
"Alvorada","vermelho","verde","vermelho","vermelho","verde","amarelo","amarelo"
"Amaral Ferrador","vermelho","amarelo","vermelho","vermelho","vermelho","verde","vermelho"
"Anta Gorda","vermelho","verde","vermelho","vermelho","vermelho","verde","amarelo"
"Arambaré","vermelho","verde","vermelho","verde","verde","verde","amarelo"
"Araricá","vermelho","verde","vermelho","vermelho","vermelho","amarelo","amarelo"
"Arroio Grande","vermelho","verde","vermelho","vermelho","vermelho","verde","vermelho"
"Arroio do Meio","vermelho","verde","vermelho","verde","amarelo","verde","amarelo"
"Arroio do Padre","vermelho","vermelho","vermelho","vermelho","vermelho","vermelho","vermelho"
"Arroio dos Ratos","vermelho","verde","vermelho","vermelho","amarelo","verde","amarelo"
"Arvorezinha","vermelho","verde","vermelho","vermelho","vermelho","verde","vermelho"
"Barra do Ribeiro","vermelho","verde","vermelho","vermelho","amarelo","vermelho","vermelho"
"Barracão","vermelho","verde","vermelho","vermelho","amarelo","verde","vermelho"
"Barros Cassal","vermelho","verde","vermelho","vermelho","verde","verde","vermelho"
"Barão de Cotegipe","vermelho","verde","vermelho","vermelho","amarelo","verde","vermelho"
"Barão do Triunfo","vermelho","verde","vermelho","verde","verde","verde","amarelo"
"Barão","vermelho","verde","vermelho","vermelho","verde","verde","vermelho"
"Boa Vista do Cadeado","vermelho","verde","vermelho","vermelho","verde","vermelho","amarelo"
"Boa Vista do Incra","vermelho","verde","vermelho","vermelho","verde","verde","vermelho"
"Bom Princípio","verde","verde","vermelho","vermelho","amarelo","verde","amarelo"
"Bom Retiro do Sul","verde","verde","vermelho","vermelho","verde","verde","amarelo"
"Brochier","vermelho","verde","vermelho","vermelho","amarelo","verde","amarelo"
"Butiá","vermelho","verde","vermelho","vermelho","amarelo","verde","amarelo"
"Cacequi","vermelho","verde","vermelho","verde","amarelo","verde","vermelho"
"Cachoeira do Sul","verde","verde","vermelho","vermelho","amarelo","amarelo","verde"
"Cachoeirinha","vermelho","amarelo","vermelho","vermelho","amarelo","amarelo","vermelho"
"Cacique Doble","vermelho","verde","vermelho","vermelho","amarelo","verde","amarelo"
"Camaquã","vermelho","verde","vermelho","vermelho","vermelho","verde","vermelho"
"Camargo","vermelho","verde","vermelho","vermelho","amarelo","verde","vermelho"
"Campo Bom","vermelho","amarelo","vermelho","vermelho","amarelo","verde","amarelo"
"Campos Borges","vermelho","verde","vermelho","vermelho","vermelho","verde","amarelo"
"Candelária","vermelho","verde","vermelho","vermelho","amarelo","verde","vermelho"
"Canguçu","verde","verde","vermelho","vermelho","amarelo","verde","vermelho"
"Canoas","vermelho","verde","vermelho","verde","amarelo","verde","amarelo"
"Canudos do Vale","verde","verde","vermelho","vermelho","amarelo","verde","amarelo"
"Capela de Santana","vermelho","verde","vermelho","vermelho","verde","amarelo","vermelho"
"Capitão","vermelho","verde","vermelho","verde","verde","verde","vermelho"
"Capão Bonito do Sul","vermelho","verde","vermelho","vermelho","vermelho","verde","amarelo"
"Capão do Cipó","vermelho","verde","vermelho","vermelho","vermelho","verde","verde"
"Capão do Leão","vermelho","verde","vermelho","vermelho","amarelo","verde","amarelo"
"Carazinho","vermelho","verde","vermelho","vermelho","verde","amarelo","amarelo"
"Carlos Gomes","vermelho","verde","vermelho","vermelho","verde","vermelho","vermelho"
"Casca","vermelho","verde","vermelho","vermelho","amarelo","verde","amarelo"
"Caseiros","vermelho","verde","vermelho","vermelho","amarelo","vermelho","vermelho"
"Centenário","vermelho","verde","vermelho","vermelho","amarelo","verde","amarelo"
"Cerrito","vermelho","verde","vermelho","verde","amarelo","verde","amarelo"
"Cerro Branco","vermelho","verde","vermelho","vermelho","vermelho","amarelo","amarelo"
"Cerro Grande do Sul","vermelho","verde","vermelho","vermelho","amarelo","verde","amarelo"
"Charqueadas","vermelho","verde","vermelho","verde","amarelo","amarelo","amarelo"
"Charrua","vermelho","verde","vermelho","vermelho","verde","vermelho","vermelho"
"Chuvisca","vermelho","verde","vermelho","vermelho","vermelho","vermelho","amarelo"
"Chuí","vermelho","verde","vermelho","vermelho","amarelo","verde","amarelo"
"Ciríaco","vermelho","verde","vermelho","vermelho","verde","verde","vermelho"
"Colinas","vermelho","verde","vermelho","vermelho","verde","verde","amarelo"
"Colorado","vermelho","verde","vermelho","vermelho","amarelo","verde","vermelho"
"Coqueiro Baixo","vermelho","verde","vermelho","vermelho","amarelo","verde","vermelho"
"Coxilha","vermelho","verde","vermelho","vermelho","verde","verde","amarelo"
"Cristal","vermelho","verde","vermelho","vermelho","amarelo","verde","amarelo"
"Cruz Alta","vermelho","verde","vermelho","vermelho","vermelho","verde","vermelho"
"Cruzeiro do Sul","vermelho","verde","vermelho","verde","verde","verde","verde"
"David Canabarro","vermelho","vermelho","vermelho","vermelho","vermelho","verde","vermelho"
"Dilermando de Aguiar","vermelho","verde","vermelho","vermelho","vermelho","verde","vermelho"
"Dois Irmãos","vermelho","amarelo","vermelho","vermelho","verde","verde","amarelo"
"Dois Lajeados","vermelho","verde","vermelho","vermelho","amarelo","verde","vermelho"
"Dom Feliciano","vermelho","verde","vermelho","vermelho","vermelho","verde","vermelho"
"Dona Francisca","vermelho","verde","vermelho","vermelho","vermelho","verde","vermelho"
"Doutor Ricardo","vermelho","verde","vermelho","vermelho","vermelho","verde","vermelho"
"Eldorado do Sul","verde","verde","vermelho","verde","amarelo","verde","verde"
"Encantado","vermelho","verde","vermelho","verde","verde","verde","verde"
"Encruzilhada do Sul","vermelho","verde","vermelho","vermelho","vermelho","verde","amarelo"
"Erebango","vermelho","verde","vermelho","vermelho","verde","verde","vermelho"
"Erechim","vermelho","verde","vermelho","vermelho","vermelho","verde","amarelo"
"Ernestina","vermelho","verde","vermelho","vermelho","amarelo","verde","amarelo"
"Espumoso","vermelho","verde","vermelho","vermelho","vermelho","amarelo","vermelho"
"Estação","vermelho","verde","vermelho","vermelho","vermelho","verde","amarelo"
"Esteio","verde","verde","vermelho","vermelho","verde","verde","amarelo"
"Estrela Velha","vermelho","verde","vermelho","vermelho","vermelho","verde","amarelo"
"Estrela","verde","verde","vermelho","verde","amarelo","verde","amarelo"
"Estância Velha","vermelho","amarelo","vermelho","vermelho","verde","verde","verde"
"Faxinal do Soturno","vermelho","amarelo","vermelho","vermelho","verde","vermelho","amarelo"
"Fazenda Vilanova","vermelho","amarelo","vermelho","vermelho","vermelho","verde","vermelho"
"Feliz","vermelho","verde","vermelho","vermelho","verde","amarelo","amarelo"
"Floriano Peixoto","vermelho","verde","vermelho","vermelho","verde","amarelo","vermelho"
"Fontoura Xavier","vermelho","verde","vermelho","vermelho","verde","verde","verde"
"Formigueiro","vermelho","verde","vermelho","vermelho","vermelho","amarelo","vermelho"
"Forquetinha","vermelho","verde","vermelho","vermelho","amarelo","verde","amarelo"
"Fortaleza dos Valos","vermelho","verde","vermelho","vermelho","vermelho","verde","amarelo"
"Gaurama","vermelho","verde","vermelho","vermelho","amarelo","verde","amarelo"
"Gentil","vermelho","verde","vermelho","vermelho","vermelho","verde","vermelho"
"Getúlio Vargas","vermelho","verde","vermelho","vermelho","amarelo","verde","amarelo"
"Glorinha","vermelho","verde","vermelho","vermelho","amarelo","vermelho","amarelo"
"Gramado Xavier","vermelho","verde","vermelho","vermelho","amarelo","verde","vermelho"
"Gravataí","vermelho","amarelo","vermelho","vermelho","verde","verde","amarelo"
"Guaíba","vermelho","amarelo","vermelho","vermelho","amarelo","amarelo","amarelo"
"Harmonia","vermelho","verde","vermelho","vermelho","amarelo","verde","verde"
"Herval","vermelho","verde","vermelho","vermelho","vermelho","verde","amarelo"
"Herveiras","vermelho","verde","vermelho","vermelho","verde","verde","vermelho"
"Ibarama","vermelho","verde","vermelho","vermelho","vermelho","amarelo","amarelo"
"Ibiaçá","vermelho","verde","vermelho","vermelho","verde","amarelo","verde"
"Ibiraiaras","vermelho","verde","vermelho","vermelho","amarelo","verde","verde"
"Ibirapuitã","vermelho","verde","vermelho","vermelho","amarelo","verde","vermelho"
"Ibirubá","vermelho","verde","vermelho","vermelho","vermelho","amarelo","vermelho"
"Igrejinha","vermelho","verde","vermelho","vermelho","verde","amarelo","vermelho"
"Ilópolis","vermelho","amarelo","vermelho","vermelho","vermelho","verde","vermelho"
"Imigrante","vermelho","verde","vermelho","vermelho","vermelho","verde","vermelho"
"Ipiranga do Sul","vermelho","verde","vermelho","vermelho","amarelo","verde","amarelo"
"Itaara","vermelho","verde","vermelho","vermelho","vermelho","amarelo","vermelho"
"Itapuca","vermelho","verde","vermelho","vermelho","amarelo","verde","vermelho"
"Ivorá","vermelho","verde","vermelho","vermelho","vermelho","verde","amarelo"
"Ivoti","vermelho","amarelo","vermelho","vermelho","amarelo","vermelho","vermelho"
"Jacuizinho","vermelho","verde","vermelho","vermelho","vermelho","amarelo","amarelo"
"Jaguari","vermelho","verde","vermelho","vermelho","vermelho","verde","verde"
"Jaguarão","vermelho","verde","vermelho","verde","verde","verde","amarelo"
"Jari","vermelho","verde","vermelho","vermelho","amarelo","amarelo","vermelho"
"Júlio de Castilhos","vermelho","verde","vermelho","vermelho","amarelo","verde","vermelho"
"Lagoa Bonita do Sul","vermelho","verde","vermelho","vermelho","vermelho","verde","amarelo"
"Lagoa Vermelha","vermelho","verde","vermelho","vermelho","verde","vermelho","vermelho"
