"municipio","valor","unidade","apenas_previsto","evento_real_nao_simulado","evidencia","confianca","erro"
"Agudo","vermelho","semáforo (verde/vermelho)","sim","nao","""Treinar, por meio de simulados, as comunidades mais vulneráveis;"" [ref_id:0][ref_id:8]","alta",""
"Alto Alegre","vermelho","semáforo (verde/vermelho)","nao","nao","Documentos do PLANCON/Alto Alegre não mencionam simulado/treinamento realizado; o conteúdo descreve objetivos, critérios de acionamento e listas de contatos/abrigo, sem ata, relatório, data de realização ou número de participantes de um simulado [ref_id:0][ref_id:1][ref_id:2][ref_id:3]","alta",""
"Alto Feliz","vermelho","semáforo (verde/vermelho)","sim","nao","O documento prevê e descreve procedimentos de evacuação e treinamento/ações (ex.: ""As Áreas de Evacuação serão planejadas...""; ""Deverá ser encaminhadas equipes de resgate dependendo da magnitude do evento"") mas não apresenta indicação de simulado/treinamento efetivamente realizado com data, ata, relatório ou número de participantes no passado.","alta",""
"Alvorada","vermelho","semáforo (verde/vermelho)","sim","nao","“deverão ser realizados exercícios simulados conjuntos, com pelo menos uma edição anual em Alvorada como prevê a Lei Nº 12.608, de 10 de Abril de 2012.” [ref_id:3]","alta",""
"Amaral Ferrador","vermelho","semáforo (verde/vermelho)","nao","nao","Não há menção de simulado realizado; o plano descreve procedimentos e responsabilidades (ex.: ""5.1 - Rápida identificação e resgate das vitimas e avaliação"") e informações institucionais, sem referência a ""foi realizado o simulado"", ata, relatório ou número de participantes.","alta",""
"Anta Gorda","vermelho","semáforo (verde/vermelho)","N/A","N/A","N/A","baixa",""
"Arambaré","vermelho","semáforo (verde/vermelho)","sim","nao","O documento usa linguagem de previsão/ação futura sobre simulados/ativação (ex.: ""criar plano de chamadas e manter equipes extras em prontidão""; ações de alerta/prontidão e avaliação/possível evacuação), e não apresenta registro de simulado realizado com data/ata/relatório/nº participantes. Exemplo de trechos: ""criar plano de chamadas e manter equipes extras em prontidão"" [ref_id:16] e avaliação/possível evacuação no nível de Alerta e Prontidão: ""avaliar evacuação preventiva de moradores em áreas de risco"" [ref_id:4]. Não há menção a ""foi realizado o simulado em"" nem ata/relatório de exercício nas páginas recuperadas (N/A).","alta",""
"Araricá","vermelho","semáforo (verde/vermelho)","sim","N/A","“5.3 Treinamento com alunos e professores, nas redes de ensino, para uma possível evasão.”","alta",""
"Arroio Grande","vermelho","semáforo (verde/vermelho)","sim","N/A","O documento lista procedimentos, áreas de risco e estoques emergenciais e contém orientações de ativação do plano, mas não apresenta menção a simulado/exercício de evacuação já realizado (não há ata, relatório, data de simulado ou número de participantes) nem texto indicando que ""foi realizado o simulado em <data>"". [ref_id:0][ref_id:1][ref_id:2]","alta",""
"Arroio do Meio","vermelho","semáforo (verde/vermelho)","sim","nao","“O GPT terá reuniões periódicas para reavaliar e aprimorar o plano de contingência municipal” (lista de grupos e revisão do plano) e instruções como “deverão promover a cultura de Defesa Civil” / não há menção de simulado realizado com data, ata, relatório ou número de participantes no documento recuperado","alta",""
